"day","DVS","LAI","TAGP","TWSO","TWLV","TWST","TWRT","TRA","RD","SM","WWLOW"
"2020-01-01","","","","","","","","","","0.4","55.3"
"2020-01-02","","","","","","","","","","0.3755604550298","54.685604550298"
"2020-01-03","","","","","","","","","","0.35527750808737","54.112775080874"
"2020-01-04","","","","","","","","","","0.33768447759951","53.566844775995"
"2020-01-05","","","","","","","","","","0.32175585366642","53.037558536664"
"2020-01-06","","","","","","","","","","0.30733550563029","52.523355056303"
"2020-01-07","","","","","","","","","","0.29473652731722","52.027365273172"
"2020-01-08","","","","","","","","","","0.2820255487044","51.530255487044"
"2020-01-09","","","","","","","","","","0.2692466456321","51.032466456321"
"2020-01-10","","","","","","","","","","0.25851391215603","50.55513912156"
"2020-01-11","","","","","","","","","","0.24901386018305","50.090138601831"
"2020-01-12","","","","","","","","","","0.23920264821537","49.622026482154"
"2020-01-13","","","","","","","","","","0.23044839700303","49.16448397003"
"2020-01-14","","","","","","","","","","0.2209222746018","48.699222746018"
"2020-01-15","","","","","","","","","","0.21213820268069","48.241382026807"
"2020-01-16","","","","","","","","","","0.20259658252537","47.775965825254"
"2020-01-17","","","","","","","","","","0.19416198060771","47.321619806077"
"2020-01-18","","","","","","","","","","0.18616612659522","46.871661265952"
"2020-01-19","","","","","","","","","","0.17910249212703","46.43102492127"
"2020-01-20","","","","","","","","","","0.17130387867682","45.983038786768"
"2020-01-21","","","","","","","","","","0.16346569488168","45.534656948817"
"2020-01-22","","","","","","","","","","0.15560855409209","45.086085540921"
"2020-01-23","","","","","","","","","","0.14926584228402","44.65265842284"
"2020-01-24","","","","","","","","","","0.1418873650584","44.208873650584"
"2020-01-25","","","","","","","","","","0.13409573514801","43.76095735148"
"2020-01-26","","","","","","","","","","0.12666227000984","43.316622700098"
"2020-01-27","","","","","","","","","","0.12063622715765","42.886362271577"
"2020-01-28","","","","","","","","","","0.11589664106523","42.558966410652"
"2020-01-29","","","","","","","","","","0.10842459229456","42.484245922946"
"2020-01-30","","","","","","","","","","0.10142712374811","42.414271237481"
"2020-01-31","","","","","","","","","","0.097211168427177","42.372111684272"
"2020-02-01","","","","","","","","","","0.092710586335029","42.32710586335"
"2020-02-02","","","","","","","","","","0.088539858748642","42.285398587486"
"2020-02-03","","","","","","","","","","0.083862791765085","42.238627917651"
"2020-02-04","","","","","","","","","","0.079376413867029","42.19376413867"
"2020-02-05","","","","","","","","","","0.072808380163074","42.128083801631"
"2020-02-06","","","","","","","","","","0.067177352455177","42.071773524552"
"2020-02-07","","","","","","","","","","0.06194791797692","42.019479179769"
"2020-02-08","","","","","","","","","","0.056617617990256","41.966176179903"
"2020-02-09","","","","","","","","","","0.05088548682347","41.908854868235"
"2020-02-10","","","","","","","","","","0.044775657595299","41.847756575953"
"2020-02-11","","","","","","","","","","0.040105720493235","41.801057204932"
"2020-02-12","","","","","","","","","","0.035880229081406","41.758802290814"
"2020-02-13","","","","","","","","","","0.03272024830609","41.727202483061"
"2020-02-14","","","","","","","","","","0.029374217789082","41.693742177891"
"2020-02-15","","","","","","","","","","0.025806238349913","41.658062383499"
"2020-02-16","","","","","","","","","","0.021146068088729","41.611460680887"
